hidden_layers,learning_rate,epochs,val_accuracy,val_loss,train_time_sec,class_0,class_1,class_2,class_3,class_4
1,0.001,50,0.9325000047683716,0.23964565992355347,12.492125988006592,0.906000018119812,0.9365000128746033,0.9904999732971191,0.8840000033378601,0.9455000162124634
1,0.001,100,0.9574999809265137,0.13648425042629242,29.46467137336731,0.9350000023841858,0.9649999737739563,0.9934999942779541,0.9319999814033508,0.9620000123977661
1,0.0001,50,0.7590000033378601,1.0634126663208008,14.159204959869385,0.9269999861717224,0.7369999885559082,0.9980000257492065,0.22499999403953552,0.9079999923706055
1,0.0001,100,0.8863999843597412,0.7510049939155579,25.35522723197937,0.8989999890327454,0.9085000157356262,0.9919999837875366,0.6924999952316284,0.9399999976158142
3,0.001,50,0.9642999768257141,0.109341561794281,14.507899284362793,0.9524999856948853,0.9639999866485596,0.9955000281333923,0.9495000243186951,0.9599999785423279
3,0.001,100,0.9682000279426575,0.09782668203115463,28.821709632873535,0.9585000276565552,0.9714999794960022,0.9965000152587891,0.9580000042915344,0.9564999938011169
3,0.0001,50,0.5336999893188477,1.2739142179489136,14.384658575057983,0.5770000219345093,0.00800000037997961,1.0,0.09399999678134918,0.9894999861717224
3,0.0001,100,0.8497999906539917,0.7365358471870422,32.20605397224426,0.8069999814033508,0.9754999876022339,0.9950000047683716,0.5245000123977661,0.9470000267028809
5,0.001,50,0.9581000208854675,0.1245630607008934,17.497942686080933,0.9505000114440918,0.9714999794960022,0.9894999861717224,0.9259999990463257,0.953000009059906
5,0.001,100,0.9688000082969666,0.0975266620516777,34.10603594779968,0.953499972820282,0.968500018119812,0.996999979019165,0.9605000019073486,0.9645000100135803
5,0.0001,50,0.4072999954223633,1.4940446615219116,16.666827917099,0.9965000152587891,0.03999999910593033,1.0,0.0,0.0
5,0.0001,100,0.7580000162124634,0.7754263877868652,34.25235986709595,0.9589999914169312,0.9854999780654907,0.9815000295639038,0.04749999940395355,0.8165000081062317
